fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
8.5,0.24,0.39,10.4,0.044,20.0,142.0,1.1753243426109794,0.13416413804858565,0.5064188179913488,-0.4093689563501315,6
8.3,0.14,0.34,1.1,0.042,7.0,47.0,-0.20981012492729728,2.0636903144132352,-0.8046873700675756,-0.24606616559980324,6
7.4,0.25,0.36,2.05,0.05,31.0,100.0,-0.6946071885656787,0.06270020559063402,-0.4012700814340607,0.24384220665118436,6
6.2,0.12,0.34,1.5,0.045,43.0,117.0,-0.036668316484993496,1.7063706521234834,0.30471017367459097,-1.2258829101017754,6
5.8,0.27,0.2,14.95,0.044,22.0,179.0,0.759784002349504,1.3490509898337348,-1.1072503365427124,-0.24606616559980324,5
7.3,0.28,0.43,1.7,0.08,21.0,123.0,-1.2140326138925133,0.06270020559063402,-0.6029787257508185,1.8768701141544724,5
6.5,0.39,0.23,5.4,0.051,25.0,149.0,-0.20981012492729728,0.4200198678803858,-1.3089589808594702,-0.4093689563501315,5
7.0,0.33,0.32,1.2,0.053,38.0,138.0,-1.1794042522040602,-0.36608338915706623,-2.014939235968121,0.5704477881518408,6
7.3,0.24,0.39,17.95,0.057,45.0,149.0,2.0410333848224216,0.20562807050653412,-1.2081046587010913,-1.5524884916024335,5
7.3,0.24,0.39,17.95,0.057,45.0,149.0,2.0410333848224216,0.20562807050653412,-1.2081046587010913,-1.5524884916024335,5
6.7,0.23,0.39,2.5,0.172,63.0,158.0,-0.10592503986189963,-0.5090112540729663,-1.2081046587010913,-0.8992773286011176,6
6.7,0.24,0.39,2.9,0.173,63.0,157.0,-0.10592503986189963,-0.5804751865309148,-1.4098133030178484,-0.8992773286011176,6
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.48275710884184103,-0.36608338915706623,-0.1995614371173029,-0.5726717471004596,6
6.6,0.24,0.27,1.4,0.057,33.0,152.0,-0.20981012492729728,0.2770920029644857,0.8089817844664854,-0.8176259332259534,6
6.7,0.23,0.26,1.4,0.06,33.0,154.0,-0.20981012492729728,0.4200198678803858,0.8089817844664854,-0.8176259332259534,6
7.4,0.18,0.31,1.4,0.058,38.0,167.0,-0.3136952099926565,-0.15169159178321454,0.5064188179913488,-0.4093689563501315,7
6.2,0.45,0.26,4.4,0.063,63.0,206.0,-0.002039954796540423,0.6344116652542343,0.4055644958329699,-0.5726717471004596,4
6.2,0.46,0.25,4.4,0.066,62.0,207.0,-0.036668316484993496,0.4914838003383343,0.4055644958329699,-0.5726717471004596,5
7.0,0.31,0.26,7.4,0.069,28.0,160.0,0.48275710884184103,-0.36608338915706623,-0.1995614371173029,-0.5726717471004596,6
6.9,0.19,0.35,5.0,0.067,32.0,150.0,0.3442436620880287,1.2775870573757833,0.002147207199454319,-0.5726717471004596,5
7.2,0.19,0.31,1.6,0.062,31.0,173.0,-0.7984922736310379,1.2061231249178348,-0.4012700814340607,0.9787047650276628,6
6.6,0.25,0.29,1.1,0.068,39.0,124.0,-0.9023773586964355,1.134659192459883,1.0106904287832421,0.4071449974015126,7
6.2,0.16,0.33,1.1,0.057,21.0,82.0,-1.040890805450248,0.991731327543983,-0.1995614371173029,0.32549360202634847,7
6.4,0.18,0.35,1.0,0.045,39.0,108.0,-1.0062624437617949,0.9202673950860345,-1.3089589808594702,0.32549360202634847,6
6.8,0.2,0.59,0.9,0.147,38.0,132.0,-0.34832357168110956,-0.9377948488206665,-1.0063960143843333,-1.1442315147266113,6
6.9,0.25,0.35,1.3,0.039,29.0,191.0,-1.110147528827154,-0.36608338915706623,0.4055644958329699,0.4071449974015126,6
7.2,0.21,0.34,11.9,0.043,37.0,213.0,0.759784002349504,-0.6519391189888665,0.2038558515162121,-0.7359745378507894,6
6.0,0.19,0.26,12.4,0.048,50.0,147.0,1.1060676192340733,0.8488034626280829,-1.2081046587010913,-1.3075343054769397,6
6.6,0.38,0.15,4.6,0.044,25.0,78.0,-0.3136952099926565,-0.5090112540729663,-1.0063960143843333,-0.24606616559980324,6
7.4,0.2,0.36,1.2,0.038,44.0,111.0,-0.48683701843492183,1.2775870573757833,-1.4098133030178484,-0.49102035172529557,6
6.8,0.22,0.24,4.9,0.092,30.0,123.0,0.37887202377648177,-1.0807227137365667,-0.1995614371173029,-1.5524884916024335,6
6.0,0.19,0.26,12.4,0.048,50.0,147.0,1.1060676192340733,0.8488034626280829,-1.2081046587010913,-1.3075343054769397,6
7.0,0.47,0.07,1.1,0.035,17.0,151.0,-1.040890805450248,-1.1521866461945152,-1.4098133030178484,-0.0011119794743094386,5
6.6,0.38,0.15,4.6,0.044,25.0,78.0,-0.3136952099926565,-0.5090112540729663,-1.0063960143843333,-0.24606616559980324,6
7.2,0.24,0.27,1.4,0.038,31.0,122.0,-0.45220865674646876,-0.22315552424116616,-0.1995614371173029,-0.16441477022463766,6
6.2,0.35,0.03,1.2,0.064,29.0,120.0,-0.20981012492729728,0.2770920029644857,0.6072731401497277,-1.1442315147266113,5
6.4,0.26,0.24,6.4,0.04,27.0,124.0,-1.2832893372694578,0.2770920029644857,0.1030015293578332,1.7135673234041429,7
6.7,0.25,0.13,1.2,0.041,81.0,174.0,-0.6946071885656787,-0.2946194566991146,-0.6029787257508185,-0.5726717471004596,5
6.7,0.23,0.31,2.1,0.046,30.0,96.0,-0.48683701843492183,1.0631952600019345,1.6158163617335155,0.16219081127601878,8
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.759784002349504,-0.36608338915706623,-1.3089589808594702,-0.8176259332259534,5
6.2,0.27,0.43,7.8,0.056,48.0,244.0,0.5520138322187856,-0.5804751865309148,0.30471017367459097,-1.2258829101017754,6
6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.6212705555956918,0.991731327543983,1.2123990730999998,-0.8176259332259534,5
8.6,0.23,0.46,1.0,0.054,9.0,72.0,0.03258840689191265,-1.652434173400164,0.1030015293578332,-1.1442315147266113,6
6.7,0.23,0.31,2.1,0.046,30.0,96.0,-0.48683701843492183,1.0631952600019345,1.6158163617335155,0.16219081127601878,8
7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.759784002349504,-0.36608338915706623,-1.3089589808594702,-0.8176259332259534,5
7.1,0.18,0.36,1.4,0.043,31.0,87.0,-1.4564311457117232,0.5629477327962827,-1.1072503365427124,1.795218718779307,7
7.0,0.32,0.34,1.3,0.042,20.0,69.0,-0.9716340820733417,0.9202673950860345,1.7166706838918944,1.2236589511531566,7
7.4,0.18,0.3,8.8,0.064,26.0,103.0,0.725155640661051,-1.7238981058581155,0.8089817844664854,-0.9809287239762817,5
6.7,0.54,0.28,5.4,0.06,21.0,105.0,0.30961530039957563,0.6344116652542343,-1.1072503365427124,-1.2258829101017754,5
7.1,0.2,0.34,16.0,0.05,51.0,166.0,1.55623632118404,0.20562807050653412,1.2123990730999998,-1.0625801193514472,6
7.1,0.34,0.2,6.1,0.063,47.0,164.0,0.20573021533421645,-0.08022765932526607,-0.6029787257508185,-0.4093689563501315,5
7.3,0.22,0.3,8.2,0.047,42.0,207.0,0.8982974491033547,1.0631952600019345,-0.1995614371173029,-0.8176259332259534,6
7.1,0.43,0.61,11.8,0.045,54.0,155.0,1.1753243426109794,-0.5090112540729663,-0.30041575927568176,-1.4708370962272692,5
7.1,0.44,0.62,11.8,0.044,52.0,152.0,1.2099527042994709,-0.4375473216150147,-0.1995614371173029,-1.4708370962272692,6
7.2,0.39,0.63,11.0,0.044,55.0,156.0,1.1753243426109794,-0.6519391189888665,-0.4012700814340607,-1.4708370962272692,6
6.8,0.25,0.31,13.3,0.05,69.0,202.0,1.1060676192340733,0.2770920029644857,0.002147207199454319,-0.6543231424756253,6
7.1,0.43,0.61,11.8,0.045,54.0,155.0,1.1753243426109794,-0.5090112540729663,-0.30041575927568176,-1.4708370962272692,5
7.1,0.44,0.62,11.8,0.044,52.0,152.0,1.2099527042994709,-0.4375473216150147,-0.1995614371173029,-1.4708370962272692,6
7.2,0.39,0.63,11.0,0.044,55.0,156.0,1.1753243426109794,-0.6519391189888665,-0.4012700814340607,-1.4708370962272692,6
6.1,0.27,0.43,7.5,0.049,65.0,243.0,0.5866421939072387,-0.4375473216150147,-0.09870711495892456,-1.2258829101017754,5
6.9,0.24,0.33,1.7,0.035,47.0,136.0,-1.387174422334817,0.5629477327962827,-0.8046873700675756,1.7135673234041429,7
6.9,0.21,0.33,1.8,0.034,48.0,136.0,-1.42180278402327,0.4914838003383343,-0.7038330479091973,1.7135673234041429,7
7.5,0.17,0.32,1.7,0.04,51.0,148.0,-0.833120635319491,0.20562807050653412,-0.4012700814340607,0.8154019742773346,7
7.1,0.26,0.29,12.4,0.044,62.0,240.0,1.002182534168714,-1.0092587812786151,-0.6029787257508185,-1.0625801193514472,6
6.0,0.34,0.66,15.9,0.046,26.0,164.0,1.3484661510532832,-0.2946194566991146,0.2038558515162121,-1.3891857008521038,6
8.6,0.265,0.36,1.2,0.034,15.0,80.0,-0.9370057203848886,-1.652434173400164,-1.2081046587010913,0.7337505789021705,7
9.8,0.36,0.46,10.5,0.038,4.0,83.0,0.5520138322187856,-2.081217768147864,-1.813230591651364,-0.32771756097496735,4
6.0,0.34,0.66,15.9,0.046,26.0,164.0,1.3484661510532832,-0.2946194566991146,0.2038558515162121,-1.3891857008521038,6
7.4,0.25,0.37,13.5,0.06,52.0,192.0,1.2099527042994709,-1.2951145111104152,-0.4012700814340607,-1.1442315147266113,5
7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.759784002349504,1.5634427872075833,-0.7038330479091973,-0.8992773286011176,5
6.0,0.21,0.24,12.1,0.05,55.0,164.0,1.0368108958571671,1.134659192459883,-0.9055416922259546,-0.8992773286011176,5
7.5,0.305,0.4,18.9,0.059,44.0,170.0,2.0756617465108747,-1.3665784435683637,-0.1995614371173029,-1.2258829101017754,5
7.4,0.25,0.37,13.5,0.06,52.0,192.0,1.2099527042994709,-1.2951145111104152,-0.4012700814340607,-1.1442315147266113,5
7.3,0.13,0.32,14.4,0.051,34.0,109.0,1.1753243426109794,0.13416413804858565,-1.3089589808594702,-1.0625801193514472,6
7.1,0.12,0.32,9.6,0.054,64.0,162.0,0.759784002349504,1.5634427872075833,-0.7038330479091973,-0.8992773286011176,5
7.1,0.23,0.35,16.5,0.04,60.0,171.0,1.7293781296263053,-0.15169159178321454,1.111544750941621,-1.1442315147266113,6
7.1,0.23,0.35,16.5,0.04,60.0,171.0,1.7293781296263053,-0.15169159178321454,1.111544750941621,-1.1442315147266113,6
6.9,0.33,0.28,1.3,0.051,37.0,187.0,-0.45220865674646876,0.6344116652542343,1.2123990730999998,-0.16441477022463766,5
6.5,0.17,0.54,8.5,0.082,64.0,163.0,0.6558989172841448,-2.081217768147864,-0.9055416922259546,-1.3891857008521038,6
7.2,0.27,0.46,18.75,0.052,45.0,255.0,2.0756617465108747,-1.0092587812786151,0.4055644958329699,-1.3075343054769397,5
7.2,0.31,0.5,13.3,0.056,68.0,195.0,1.4523512361186424,-1.2236505786524667,-0.09870711495892456,-1.0625801193514472,5
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9675541724802609,0.2770920029644857,0.30471017367459097,-1.1442315147266113,5
6.7,0.41,0.34,9.2,0.049,29.0,150.0,0.9675541724802609,0.2770920029644857,0.30471017367459097,-1.1442315147266113,5
6.0,0.31,0.24,3.3,0.041,25.0,143.0,-0.9023773586964355,0.9202673950860345,-0.4012700814340607,0.6520991835270064,6
7.0,0.14,0.4,1.7,0.035,16.0,85.0,-1.0062624437617949,0.06270020559063402,-0.6029787257508185,1.0603561604028284,6
7.2,0.31,0.5,13.3,0.056,68.0,195.0,1.4523512361186424,-1.2236505786524667,-0.09870711495892456,-1.0625801193514472,5
7.3,0.32,0.48,13.3,0.06,57.0,196.0,1.4523512361186424,-1.0092587812786151,0.2038558515162121,-1.0625801193514472,5
5.9,0.36,0.04,5.7,0.046,21.0,87.0,-0.20981012492729728,0.2770920029644857,0.30471017367459097,-0.24606616559980324,5
7.8,0.24,0.32,12.2,0.054,42.0,138.0,1.5216079594955485,-1.2236505786524667,0.6072731401497277,-1.3891857008521038,5
7.4,0.16,0.31,6.85,0.059,31.0,131.0,0.41350038546493484,0.7773395301701345,-1.4098133030178484,-0.6543231424756253,5
6.9,0.19,0.28,5.0,0.058,14.0,146.0,0.41350038546493484,0.7773395301701345,-1.2081046587010913,-1.1442315147266113,6
6.4,0.13,0.47,1.6,0.092,40.0,158.0,-0.4175802950580157,0.20562807050653412,-1.2081046587010913,-0.5726717471004596,6
6.7,0.19,0.36,1.1,0.026,63.0,143.0,-0.9716340820733417,0.6344116652542343,0.002147207199454319,0.4071449974015126,6
7.4,0.39,0.23,7.0,0.033,29.0,126.0,-0.002039954796540423,-0.2946194566991146,-0.6029787257508185,-0.0011119794743094386,5
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.6212705555956918,1.9207624494973352,0.6072731401497277,-0.6543231424756253,7
6.1,0.3,0.56,2.8,0.044,47.0,179.0,-0.5560937418118664,0.8488034626280829,0.9098361066248631,0.32549360202634847,7
6.1,0.3,0.56,2.7,0.046,46.0,184.0,-0.5560937418118664,0.9202673950860345,0.9098361066248631,0.32549360202634847,6
5.7,0.26,0.25,10.4,0.02,7.0,57.0,-0.002039954796540423,1.4919788547496349,-1.1072503365427124,0.08053941590085467,5
6.5,0.24,0.32,7.6,0.038,48.0,203.0,0.6212705555956918,1.9207624494973352,0.6072731401497277,-0.6543231424756253,7
6.5,0.425,0.4,13.1,0.038,59.0,241.0,1.3484661510532832,0.3485559354224342,0.9098361066248631,-1.2258829101017754,5
6.6,0.24,0.27,15.8,0.035,46.0,188.0,1.4523512361186424,0.4200198678803858,0.30471017367459097,-1.0625801193514472,5
6.8,0.27,0.22,8.1,0.034,55.0,203.0,0.725155640661051,0.06270020559063402,0.4055644958329699,-1.3075343054769397,5
6.7,0.27,0.31,15.7,0.036,44.0,179.0,1.3484661510532832,0.5629477327962827,0.8089817844664854,-0.7359745378507894,5
8.2,0.23,0.4,1.2,0.027,36.0,121.0,-0.6946071885656787,-0.4375473216150147,-1.0063960143843333,0.16219081127601878,6
7.1,0.37,0.67,10.5,0.045,49.0,155.0,1.2099527042994709,-0.15169159178321454,-0.4012700814340607,-1.4708370962272692,5
6.8,0.19,0.36,1.9,0.035,30.0,96.0,-0.7984922736310379,-0.22315552424116616,0.6072731401497277,0.24384220665118436,7
8.1,0.28,0.39,1.9,0.029,18.0,79.0,-0.5907221035003195,0.3485559354224342,0.4055644958329699,1.0603561604028284,6
6.3,0.31,0.34,2.2,0.045,20.0,77.0,-0.45220865674646876,0.8488034626280829,-0.5021244035924396,-0.24606616559980324,5
7.1,0.37,0.67,10.5,0.045,49.0,155.0,1.2099527042994709,-0.15169159178321454,-0.4012700814340607,-1.4708370962272692,5
7.9,0.21,0.4,1.2,0.039,38.0,107.0,-0.6946071885656787,0.20562807050653412,0.6072731401497277,0.24384220665118436,6
8.5,0.21,0.41,4.3,0.036,24.0,99.0,0.24035857702266952,-0.00876372686731444,0.5064188179913488,-0.6543231424756253,6
8.1,0.2,0.4,2.0,0.037,19.0,87.0,-0.6599788268772256,-0.4375473216150147,0.6072731401497277,0.5704477881518408,6
6.3,0.255,0.37,1.1,0.04,37.0,114.0,-1.2140326138925133,-1.2951145111104152,-0.9055416922259546,0.32549360202634847,6
5.6,0.16,0.27,1.4,0.044,53.0,168.0,-0.7638639119425849,0.7058755977121828,-1.1072503365427124,-0.32771756097496735,6
6.4,0.595,0.14,5.2,0.058,15.0,97.0,0.37887202377648177,1.4205149222916833,-1.2081046587010913,-1.2258829101017754,4
6.3,0.34,0.33,4.6,0.034,19.0,80.0,-0.7984922736310379,1.4205149222916833,1.0106904287832421,1.2236589511531566,7
6.9,0.25,0.3,4.1,0.054,23.0,116.0,-0.002039954796540423,-1.3665784435683637,-1.0063960143843333,-0.8992773286011176,6
7.9,0.22,0.38,8.0,0.043,46.0,152.0,-0.20981012492729728,-0.4375473216150147,-1.6115219473346063,0.8154019742773346,7
7.6,0.18,0.46,10.2,0.055,58.0,135.0,0.9675541724802609,-0.2946194566991146,-0.5021244035924396,-0.49102035172529557,6
6.9,0.25,0.3,4.1,0.054,23.0,116.0,-0.002039954796540423,-1.3665784435683637,-1.0063960143843333,-0.8992773286011176,6
7.2,0.18,0.41,1.2,0.048,41.0,97.0,-0.7292355502541318,-0.2946194566991146,-0.30041575927568176,-0.08276337484947355,5
7.4,0.24,0.42,14.0,0.066,48.0,198.0,1.3484661510532832,-2.081217768147864,-0.6029787257508185,-1.3075343054769397,6
7.4,0.24,0.42,14.0,0.066,48.0,198.0,1.3484661510532832,-2.081217768147864,-0.6029787257508185,-1.3075343054769397,6
6.1,0.32,0.24,1.5,0.036,38.0,124.0,-1.4564311457117232,0.7773395301701345,-0.6029787257508185,1.5502645326538145,7
5.2,0.44,0.04,1.4,0.036,43.0,119.0,-1.5949445924655739,1.2775870573757833,-1.5106676251762272,1.3053103465283207,8
5.2,0.44,0.04,1.4,0.036,43.0,119.0,-1.5949445924655739,1.2775870573757833,-1.5106676251762272,1.3053103465283207,8
6.1,0.32,0.24,1.5,0.036,38.0,124.0,-1.4564311457117232,0.7773395301701345,-0.6029787257508185,1.5502645326538145,7
6.4,0.22,0.56,14.5,0.055,27.0,159.0,1.3830945127417362,-1.4380423760263152,-0.8046873700675756,-1.1442315147266113,5
6.3,0.36,0.3,4.8,0.049,14.0,85.0,-0.2790668483042034,0.7058755977121828,-0.9055416922259546,0.08053941590085467,5
7.4,0.24,0.42,14.0,0.066,48.0,198.0,1.3484661510532832,-2.081217768147864,-0.6029787257508185,-1.3075343054769397,6
6.7,0.24,0.35,13.1,0.05,64.0,205.0,1.0368108958571671,-0.22315552424116616,0.2038558515162121,-0.8176259332259534,5
7.0,0.23,0.36,13.0,0.051,72.0,177.0,1.1060676192340733,-0.15169159178321454,0.1030015293578332,-0.5726717471004596,5
8.4,0.27,0.46,8.7,0.048,39.0,197.0,1.1753243426109794,-0.2946194566991146,1.111544750941621,-0.7359745378507894,6
6.7,0.46,0.18,2.4,0.034,25.0,98.0,-1.5256878690886293,-0.7234030514468148,-0.4012700814340607,1.7135673234041429,7
7.5,0.29,0.31,8.95,0.055,20.0,151.0,0.9675541724802609,-0.7234030514468148,0.6072731401497277,-0.9809287239762817,5
9.8,0.42,0.48,9.85,0.034,5.0,110.0,0.6212705555956918,-2.224145633063764,-1.9140849138097429,-0.4093689563501315,5
7.1,0.3,0.46,1.5,0.066,29.0,133.0,-1.1794042522040602,-0.4375473216150147,0.6072731401497277,1.795218718779307,6
7.9,0.19,0.45,1.5,0.045,17.0,96.0,-0.7984922736310379,-0.36608338915706623,-0.9055416922259546,0.4071449974015126,6
7.6,0.48,0.37,0.8,0.037,4.0,100.0,-1.3179176989579109,-1.0807227137365667,-0.9055416922259546,0.7337505789021705,4
6.3,0.22,0.43,4.55,0.038,31.0,130.0,-0.7638639119425849,1.2061231249178348,-1.5106676251762272,0.8154019742773346,7
7.5,0.27,0.31,17.7,0.051,33.0,173.0,1.7293781296263053,-0.6519391189888665,1.6158163617335155,-0.24606616559980324,5
6.9,0.23,0.4,7.5,0.04,50.0,151.0,-0.45220865674646876,-0.5090112540729663,-2.1157935581265,0.7337505789021705,6
7.2,0.32,0.47,5.1,0.044,19.0,65.0,-1.040890805450248,-1.0807227137365667,-0.7038330479091973,1.7135673234041429,4
5.9,0.23,0.3,12.9,0.054,57.0,170.0,1.1060676192340733,0.7058755977121828,-0.9055416922259546,-0.8992773286011176,5
6.0,0.67,0.07,1.2,0.06,9.0,108.0,-0.3136952099926565,-0.5090112540729663,-1.3089589808594702,-1.4708370962272692,4
6.4,0.25,0.32,5.5,0.049,41.0,176.0,0.3442436620880287,0.06270020559063402,2.019233650367031,-1.0625801193514472,6
6.4,0.33,0.31,5.5,0.048,42.0,173.0,0.37887202377648177,0.06270020559063402,1.8175250060502732,-0.9809287239762817,6
7.1,0.34,0.15,1.2,0.053,61.0,183.0,-0.1405534015503527,-0.6519391189888665,-0.5021244035924396,-1.0625801193514472,5
6.8,0.28,0.4,22.0,0.048,48.0,167.0,2.4219453633954053,-1.795362038316064,0.2038558515162121,-1.4708370962272692,5
6.9,0.27,0.4,14.0,0.05,64.0,227.0,1.3484661510532832,-0.00876372686731444,1.0106904287832421,-0.7359745378507894,6
6.8,0.26,0.56,11.9,0.043,64.0,226.0,1.0368108958571671,-1.1521866461945152,1.5149620395751364,-0.9809287239762817,5
6.8,0.29,0.56,11.9,0.043,66.0,230.0,1.1060676192340733,-1.1521866461945152,1.5149620395751364,-0.9809287239762817,5
6.7,0.24,0.41,9.4,0.04,49.0,166.0,0.48275710884184103,-0.4375473216150147,1.3132533952583787,-0.49102035172529557,6
5.9,0.3,0.23,4.2,0.038,42.0,119.0,-0.5560937418118664,-0.22315552424116616,0.2038558515162121,0.4071449974015126,5
6.8,0.53,0.35,3.8,0.034,26.0,109.0,-1.1794042522040602,0.5629477327962827,0.9098361066248631,1.795218718779307,8
6.5,0.28,0.28,8.5,0.047,54.0,210.0,0.759784002349504,-0.6519391189888665,0.6072731401497277,-1.3075343054769397,4
6.6,0.28,0.28,8.5,0.052,55.0,211.0,0.759784002349504,-0.6519391189888665,0.7081274623081065,-1.3075343054769397,6
6.8,0.28,0.4,22.0,0.048,48.0,167.0,2.4219453633954053,-1.795362038316064,0.2038558515162121,-1.4708370962272692,5
6.8,0.28,0.36,8.0,0.045,28.0,123.0,-0.4175802950580157,-1.1521866461945152,-1.1072503365427124,0.7337505789021705,6
6.6,0.15,0.34,5.1,0.055,34.0,125.0,0.06721676858036572,1.2775870573757833,-0.6029787257508185,-0.7359745378507894,5
6.4,0.29,0.44,3.6,0.2,75.0,181.0,0.06721676858036572,-1.1521866461945152,-0.7038330479091973,-1.1442315147266113,5
6.4,0.3,0.45,3.5,0.197,76.0,180.0,0.06721676858036572,-1.1521866461945152,-0.9055416922259546,-1.1442315147266113,6
6.4,0.29,0.44,3.6,0.197,75.0,183.0,0.06721676858036572,-1.2236505786524667,-1.0063960143843333,-1.1442315147266113,5
6.8,0.26,0.24,7.8,0.052,54.0,214.0,0.725155640661051,-0.36608338915706623,-0.09870711495892456,-1.3075343054769397,5
7.1,0.32,0.24,13.1,0.05,52.0,204.0,1.3830945127417362,-0.5804751865309148,0.1030015293578332,-1.3891857008521038,5
6.8,0.26,0.24,7.8,0.052,54.0,214.0,0.725155640661051,-0.36608338915706623,-0.09870711495892456,-1.3075343054769397,5
6.8,0.27,0.26,16.1,0.049,55.0,196.0,1.5216079594955485,-0.22315552424116616,0.2038558515162121,-0.9809287239762817,5
7.1,0.32,0.24,13.1,0.05,52.0,204.0,1.3830945127417362,-0.5804751865309148,0.1030015293578332,-1.3891857008521038,5
6.9,0.54,0.32,13.2,0.05,53.0,236.0,1.1406959809225263,0.13416413804858565,0.2038558515162121,-0.7359745378507894,5
6.8,0.26,0.34,13.9,0.034,39.0,134.0,0.30961530039957563,1.0631952600019345,0.5064188179913488,1.2236589511531566,6
5.8,0.28,0.35,2.3,0.053,36.0,114.0,-0.5560937418118664,0.7058755977121828,0.2038558515162121,-0.24606616559980324,4
6.4,0.21,0.5,11.6,0.042,45.0,153.0,1.1060676192340733,-0.22315552424116616,-0.5021244035924396,-1.3891857008521038,5
7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.6212705555956918,0.20562807050653412,-1.4098133030178484,-1.0625801193514472,5
